player_class,player_archetype,opponent_class,opponent_archetype,win_rate,total_games
Druid,Aggro Token Druid,Druid,Aggro Token Druid,50,190
Druid,Aggro Token Druid,Druid,Jade Druid,56.57,350
Druid,Aggro Token Druid,Druid,Spiteful Druid,50,142
Druid,Aggro Token Druid,Hunter,Face Hunter,50.46,109
Druid,Aggro Token Druid,Hunter,Midrange Hunter,52.36,592
Druid,Aggro Token Druid,Hunter,Spell Hunter,52.44,513
Druid,Aggro Token Druid,Mage,Burn Mage,42.89,415
Druid,Aggro Token Druid,Mage,Exodia Mage,44.14,111
Druid,Aggro Token Druid,Mage,Secret Mage,47.49,1895
Druid,Aggro Token Druid,Paladin,Aggro Paladin,48.88,1156
Druid,Aggro Token Druid,Paladin,Control Paladin,45.71,210
Druid,Aggro Token Druid,Paladin,Murloc Paladin,41.19,1107
Druid,Aggro Token Druid,Priest,Big Priest,49.78,446
Druid,Aggro Token Druid,Priest,Dragon Priest,43.84,901
Druid,Aggro Token Druid,Priest,Spiteful Priest,45.08,1098
Druid,Aggro Token Druid,Rogue,Mill Rogue,74.41,426
Druid,Aggro Token Druid,Rogue,Miracle Rogue,68.28,372
Druid,Aggro Token Druid,Shaman,Elemental Shaman,65.92,179
Druid,Aggro Token Druid,Shaman,Evolve Shaman,49.41,255
Druid,Aggro Token Druid,Warlock,Control Warlock,43.45,870
Druid,Aggro Token Druid,Warlock,Cube Warlock,44.74,1113
Druid,Aggro Token Druid,Warlock,Zoo Warlock,47.17,547
Druid,Aggro Token Druid,Warrior,Control Warrior,54.76,126
Druid,C'Thun Druid,Druid,Jade Druid,63.73,102
Druid,C'Thun Druid,Hunter,Midrange Hunter,50,130
Druid,C'Thun Druid,Hunter,Spell Hunter,56.14,114
Druid,C'Thun Druid,Mage,Secret Mage,58.44,409
Druid,C'Thun Druid,Paladin,Aggro Paladin,25.16,318
Druid,C'Thun Druid,Paladin,Murloc Paladin,29.03,248
Druid,C'Thun Druid,Priest,Big Priest,57.05,149
Druid,C'Thun Druid,Priest,Dragon Priest,67.23,235
Druid,C'Thun Druid,Priest,Spiteful Priest,47.19,303
Druid,C'Thun Druid,Rogue,Mill Rogue,70.25,121
Druid,C'Thun Druid,Warlock,Control Warlock,52.3,239
Druid,C'Thun Druid,Warlock,Cube Warlock,52.06,267
Druid,C'Thun Druid,Warlock,Zoo Warlock,32.17,143
Druid,Jade Druid,Druid,Aggro Token Druid,43.43,350
Druid,Jade Druid,Druid,C'Thun Druid,36.27,102
Druid,Jade Druid,Druid,Jade Druid,50,976
Druid,Jade Druid,Druid,Ramp Druid,37.16,218
Druid,Jade Druid,Druid,Spiteful Druid,48.19,332
